  12,838 positions       0s  33,942/s
  26,905 positions       0s  58,808/s
  330,030,326 positions     913s  361,296/s
  332,019,355 positions     919s  361,346/s
  334,014,260 positions     924s  361,397/s
  336,018,187 positions     930s  361,398/s
  338,015,925 positions     935s  361,411/s
  340,021,009 positions     941s  361,405/s
  342,030,814 positions     946s  361,486/s
  344,027,978 positions     952s  361,424/s
  346,001,684 positions     957s  361,468/s
  346,035,487 positions     957s  361,495/s
  348,027,803 positions     963s  361,445/s
  350,027,382 positions     968s  361,513/s
  352,000,884 positions     974s  361,531/s
  352,033,378 positions     974s  361,546/s
  354,026,148 positions     979s  361,568/s
  356,031,329 positions     985s  361,588/s
  358,001,892 positions     990s  361,688/s
  358,037,458 positions     990s  361,677/s
  360,020,479 positions     995s  361,779/s
  362,018,066 positions    1001s  361,731/s
  364,027,956 positions    1006s  361,828/s
  366,013,699 positions    1011s  361,906/s
  368,013,771 positions    1017s  361,982/s
  370,020,869 positions    1022s  362,078/s
  372,029,975 positions    1027s  362,218/s
  374,033,559 positions    1032s  362,314/s
  376,005,132 positions    1038s  362,389/s
  378,032,851 positions    1043s  362,508/s
  380,010,029 positions    1048s  362,642/s
  382,006,277 positions    1053s  362,791/s
  384,010,277 positions    1058s  362,917/s
  386,016,013 positions    1063s  363,046/s
  388,017,773 positions    1069s  363,060/s
  390,017,596 positions    1074s  363,156/s
  392,012,878 positions    1079s  363,240/s
  394,002,883 positions    1085s  363,298/s
  394,038,905 positions    1085s  363,331/s
  396,029,670 positions    1090s  363,418/s
  398,035,315 positions    1095s  363,589/s
  400,015,997 positions    1100s  363,669/s
  402,026,982 positions    1105s  363,764/s
  404,024,206 positions    1110s  363,870/s
  406,013,599 positions    1116s  363,961/s
  408,011,774 positions    1121s  364,027/s

done in 1125s
  kept          : 409,562,339 positions (13.11 GB)
  bad json      : 0
  illegal fen   : 147,774
  no usable eval: 0
  mate scores   : 50,439,533 (12.32%)
  tactical best : 97,634,926 (23.84%) capture/promotion
  throughput    : 364,079 pos/s
